time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
0.63,8.419778233,15.3518245,0.94880658
0.635,8.419007573,15.3400715,0.950209615
0.64,8.418889047,15.3910005,0.952514595
0.645,8.418889047,15.4497655,0.956189205
0.65,8.417703466,15.4458475,0.958093315
0.655,8.417525597,15.4458475,0.96178463
0.66,8.418059124,15.5046125,0.9628202
0.665,8.416932887,15.5124475,0.96532561
0.67,8.416221571,15.528118,0.967530375
0.675,8.416340097,15.5320355,0.969534705
0.68,8.415510174,15.5594595,0.972190445
0.685,8.415747306,15.618224,0.97451213
0.69,8.415747306,15.64173,0.976149
0.695,8.415213779,15.629977,0.977685655
0.7,8.415332385,15.720083,0.980842475
0.705,8.415273122,15.724001,0.982479345
0.71,8.414265411,15.7161655,0.9864212
0.715,8.414680332,15.7631775,0.98909364
0.72,8.414087541,15.7945185,0.991164785
0.725,8.413257699,15.798436,0.992868465
0.73,8.413316962,15.8141065,0.994388415
0.735,8.412664909,15.837613,0.99665999
0.74,8.412131381,15.8728715,0.997996215
0.745,8.411479328,15.9198835,0.999315735
0.75,8.411005063,15.896378,1.000768875
0.755,8.410115877,15.9355545,1.002422445
0.76,8.410056614,15.9629785,1.0027565
0.765,8.40958235,16.0099905,1.00430986
0.77,8.409760219,16.06092,1.00746668
0.775,8.409641612,16.072673,1.008435445
0.78,8.409108085,16.107932,1.00992199
0.785,8.409108085,16.1549435,1.01162567
0.79,8.408456031,16.1706145,1.01369681
0.795,8.408337425,16.19412,1.01459876
0.8,8.407685371,16.2332965,1.01516666
0.805,8.407033318,16.272473,1.0178224
0.81,8.406440447,16.2685555,1.01934235
0.815,8.405551342,16.2528845,1.019242135
0.82,8.405254866,16.299897,1.02016079
0.825,8.404899207,16.3469085,1.023401125
0.83,8.40495847,16.3351555,1.024536915
0.835,8.404247073,16.323403,1.025739515
0.84,8.404424862,16.370415,1.027142545
0.845,8.403950678,16.3900035,1.02943082
0.85,8.403772808,16.4017565,1.03106769
0.855,8.405017652,16.4487685,1.03121802
0.86,8.404543468,16.4996975,1.033155545
0.865,8.40478052,16.554545,1.035594145
0.87,8.404602731,16.5545445,1.0359282
0.875,8.403772808,16.5506275,1.03597831
0.88,8.403180018,16.6172275,1.037849015
0.885,8.403476413,16.6407335,1.03925205
0.89,8.403061492,16.6093925,1.04070519
0.895,8.402883623,16.609393,1.04142341
0.9,8.402883623,16.66424,1.04342774
0.905,8.401698042,16.632899,1.04488088
0.91,8.402468621,16.6524875,1.045014505
0.915,8.402409358,16.668158,1.045098025
0.92,8.402350095,16.703417,1.047119055
0.925,8.40264649,16.7151695,1.04843857
0.93,8.402053781,16.6564045,1.04817133
0.935,8.401816648,16.7034165,1.049089975
0.94,8.401994518,16.7386755,1.04994182
0.945,8.401994518,16.7230045,1.05146177
0.95,8.401698122,16.6955815,1.05192945
0.955,8.401520253,16.766099,1.053883675
0.96,8.401105332,16.7974405,1.055286705
0.965,8.400808937,16.78177,1.05640579
0.97,8.400571885,16.7896055,1.057124015
0.975,8.400216227,16.809194,1.058527045
0.98,8.399919832,16.8366175,1.06028083
0.985,8.399623518,16.8170285,1.06078192
0.99,8.399030727,16.8131105,1.061917705
0.995,8.398852939,16.8522875,1.061850895
1,8.398734413,16.86404,1.062652625
1.005,8.398734413,16.8366165,1.062769545
1.01,8.398793676,16.860122,1.06363809
1.015,8.398438018,16.8875455,1.06497431
1.02,8.398319411,16.8797105,1.06594307
1.025,8.398793676,16.918887,1.065892965
1.03,8.398556543,16.942393,1.06761335
1.035,8.39790449,16.969817,1.068749135
1.04,8.398437937,16.989405,1.068665625
1.045,8.397963753,16.9776515,1.070152175
1.05,8.397608095,17.008993,1.0709038
1.055,8.397667438,17.0364165,1.071688825
1.06,8.396837597,16.9815695,1.07317537
1.065,8.397252518,17.0129105,1.073025045
1.07,8.396956122,17.0089925,1.073025045
1.075,8.396304069,17.005075,1.074043915
1.08,8.397015385,17.06384,1.073425915
1.085,8.397074648,17.0442515,1.07474543
1.09,8.396185543,17.067758,1.075764295
1.095,8.397133911,17.099099,1.075413535
1.1,8.396837516,17.06384,1.07658273
1.105,8.396244725,17.075593,1.076900085
1.11,8.396778253,17.1265225,1.077518085
1.115,8.395296357,17.0638405,1.07930528
1.12,8.395296357,17.091264,1.080274035
1.125,8.395592753,17.056005,1.08059139
1.13,8.395177832,17.0599225,1.080507875
1.135,8.395118569,17.0951815,1.080892045
1.14,8.395296357,17.110852,1.082295075
1.145,8.394407253,17.1147705,1.083531075
1.15,8.395059306,17.185288,1.08399875
1.155,8.395059306,17.161782,1.08588616
1.16,8.394525778,17.173535,1.085919565
1.165,8.395829885,17.2479705,1.08717227
1.17,8.394703567,17.255806,1.08870892
1.175,8.39476283,17.310653,1.089811295
1.18,8.394644304,17.2362175,1.093085025
1.185,8.39476283,17.2558055,1.09331886
1.19,8.394407253,17.2283815,1.09370303
1.195,8.394762911,17.275393,1.09495574
1.2,8.394229464,17.244052,1.096475715
1.205,8.394110857,17.31457,1.097795235
1.21,8.393992332,17.2871465,1.098747295
1.215,8.393399541,17.2949815,1.099198285
1.22,8.394466596,17.322405,1.100066815
1.225,8.393695936,17.338076,1.10215468
1.23,8.393695936,17.428182,1.102137985
1.235,8.393399541,17.4007585,1.10501083
1.24,8.393458804,17.416429,1.106213425
1.245,8.392866013,17.4085935,1.10699846
1.25,8.393103146,17.4399345,1.107633155
1.255,8.392806832,17.408593,1.108485
1.26,8.393280934,17.5182875,1.11189236
1.265,8.392866013,17.4556055,1.11160838
1.27,8.392806751,17.4673585,1.11179213
1.275,8.392806832,17.4751935,1.11185893
1.28,8.392747488,17.4791115,1.113629465
1.285,8.392451173,17.518288,1.112760965
1.29,8.392451092,17.5653,1.11446465
1.295,8.392451092,17.5692175,1.11503255
1.3,8.392095353,17.6083945,1.1152497
1.305,8.392510274,17.647571,1.1153332
1.31,8.391443381,17.6044765,1.1148822
1.315,8.392451012,17.710253,1.117688265
1.32,8.392451012,17.702418,1.118590215
1.325,8.392628881,17.7220065,1.119692565
1.33,8.392569618,17.7220065,1.120110115
1.335,8.392984458,17.753348,1.122932865
1.34,8.392688144,17.765101,1.122632215
1.345,8.393043802,17.812113,1.1256053
1.35,8.392747407,17.8277835,1.1263569
1.355,8.393043802,17.8552075,1.1267745
1.36,8.393340116,17.863043,1.12774325
1.365,8.392332486,17.8317015,1.1273424
1.37,8.392213879,17.859125,1.12727555
1.375,8.392095272,17.8865485,1.1291129
1.38,8.391680351,17.8826305,1.13078315
1.385,8.391680351,17.8512895,1.13014845
1.39,8.391324612,17.8434545,1.13282085
1.395,8.39108748,17.8669605,1.13295445
1.4,8.391206087,17.8552075,1.13484185
1.405,8.390020506,17.8434545,1.13617805
1.41,8.390968954,17.9022195,1.13714685
1.415,8.390376083,17.8787135,1.1380822
1.42,8.390257557,17.902219,1.1395855
1.425,8.390494689,17.913972,1.1387336
1.43,8.390020506,17.949231,1.14033705
1.435,8.389961243,17.953148,1.1412557
1.44,8.38990198,17.9453125,1.14005315
1.445,8.389546322,17.941395,1.14130585
1.45,8.389486978,17.929642,1.1408549
1.455,8.390257638,17.9453125,1.1409384
1.46,8.389249927,17.913971,1.14224125
1.465,8.390316982,17.9923245,1.14342715
1.47,8.389783454,17.960983,1.1431265
1.475,8.38972411,17.9844885,1.14503065
1.48,8.38990198,17.9844885,1.1453146
1.485,8.389783535,18.004077,1.14576555
