t,mox,F,Pc,of,mf,eta
0.0,0.008140934094000001,1.4049694130000001,314366.48,29.009949440945114,0.000280625587113563,0.9782476461724292
0.005,0.008211652901,1.4519812680000002,324555.16599999997,28.526291904579907,0.0002878626120937091,0.9782476461724292
0.01,0.008250005767000001,1.659617053,334827.365,27.967297269958095,0.00029498759523902905,0.9782476461724292
0.015,0.008285631894,1.788899723,345784.38399999996,27.371694266388307,0.00030270803894571227,0.9782476461724292
0.02,0.008318294149,1.9965354880000001,356474.152,26.795006320393963,0.0003104419550992551,0.9782476461724292
0.025,0.008343428077999999,2.110147488,367865.435,26.157240307760205,0.0003189720314464791,0.9782476461724292
0.03,0.008364886739,2.0788062430000003,370838.52999999997,26.03732554184412,0.00032126520542814357,0.9782476461724292
0.035,0.008383381527000001,2.215924195,377068.65499999997,25.70464674864414,0.0003261426468520601,0.9782476461724292
0.04,0.008397489731000001,2.274689005,383382.3,25.35251254702455,0.000331229092794022,0.9782476461724292
0.045,0.008409819563,2.384383355,389862.975,24.98284262360272,0.00033662380577359767,0.9782476461724292
0.05,0.008419422575,2.415724605,397663.165,24.51799355807565,0.0003433976991248063,0.9782476461724292
0.055,0.008427425084999999,2.654701655,407334.06,23.922681877675515,0.00035227760533255325,0.9782476461724292
0.06,0.008434182832000002,2.807490205,417706.48,23.270285456098534,0.0003624443218761471,0.9782476461724292
0.065,0.008439636391,2.95636109,428630.085,22.569684174017862,0.0003739368404949006,0.9782476461724292
0.07,0.008443845107000001,3.06997314,440773.0,21.776404488378223,0.00038775203277962477,0.9782476461724292
0.075,0.008447461113,3.265855965,452615.26,20.994852122801838,0.00040235868600500797,0.9782476461724292
0.08,0.008450247196,3.43039751,465626.715,20.127538501103395,0.00041983510281382676,0.9782476461724292
0.085,0.008452796146,3.63411561,480458.76999999996,19.135299919235695,0.00044173836739830016,0.9782476461724292
0.09,0.008454989439,3.75948065,496927.69,18.036139590464277,0.00046878043921716824,0.9782476461724292
0.095,0.008455819443,3.9122692000000003,513262.995,16.95434110437023,0.0004987406700706516,0.9782476461724292
0.1,0.008457894209999999,4.11990495,529214.14,15.92744614440649,0.0005310263888709051,0.9782476461724292
0.105,0.008458012735000001,4.257022900000001,544580.685,14.962973638685215,0.000565262824037375,0.9782476461724292
0.11,0.008459198235000001,4.394140900000001,560932.685,13.981240160925836,0.0006050391909182279,0.9782476461724292
0.115,0.008459435287,4.56651775,576516.365,13.083874172106363,0.0006465543137853428,0.9782476461724292
0.12,0.008460146603,4.75848285,592183.56,12.224852842134913,0.0006920448624003678,0.9782476461724292
0.125,0.008459790864,4.92694205,607917.57,11.39848363321786,0.0007421856394429678,0.9782476461724292
0.13,0.008459909390000001,5.1737544,622382.1599999999,10.67356907157478,0.000792603611151019,0.9782476461724292
0.135,0.008459316598999999,5.31479005,636930.275,9.971903111792525,0.0008483151615258095,0.9782476461724292
0.14,0.008459612994,5.62428485,650893.7899999999,9.338951171845908,0.0009058418700702875,0.9782476461724292
0.145,0.00845973152,5.87893255,665258.1649999999,8.733219344965256,0.0009686841914576525,0.9782476461724292
0.15,0.008458842414999999,6.09832125,678553.5650000001,8.209415818869505,0.001030382989683283,0.9782476461724292
0.155,0.008459553732,6.3686395,690579.56,7.7748183226775325,0.0010880709208760848,0.9782476461724292
0.16,0.008457834704,6.6272047999999995,701787.12,7.391519071555981,0.0011442620416887526,0.9782476461724292
0.165,0.008458249625,6.9445349,713896.62,7.011352289341804,0.0012063649458689551,0.9782476461724292
0.17,0.008456826911,7.22660615,724419.3550000001,6.699893446942441,0.001262233045640353,0.9782476461724292
0.175,0.008457538228,7.61837165,734958.8,6.412545668919419,0.001318904950492958,0.9782476461724292
0.18,0.008456115514,7.943537299999999,744529.49,6.163497414724249,0.0013719670740509789,0.9782476461724292
0.185,0.008455700512,8.3862325,752546.8150000001,5.968220559608202,0.0014167875378511639,0.9782476461724292
0.19,0.008454929852000002,8.63304495,759912.735,5.7962828759492755,0.0014586813709666147,0.9782476461724292
0.195,0.008454929852000002,8.94645745,766393.41,5.652913404047677,0.001495676520702756,0.9782476461724292
0.2,0.008454811246000001,9.2677055,771721.595,5.539808566579669,0.0015261919512897686,0.9782476461724292
0.205,0.008453625745,9.5027648,777400.53,5.421281274568348,0.0015593409227181434,0.9782476461724292
0.21,0.008454040666000001,9.737824400000001,781910.275,5.332017856714118,0.0015855236972536781,0.9782476461724292
0.215,0.008452499507999998,9.8671071,785401.16,5.261349848834712,0.0016065267946156565,0.9782476461724292
0.22,0.008452855166,10.1335076,789793.99,5.178486237573999,0.0016323023328068103,0.9782476461724292
0.225,0.008450899006,10.2862963,793301.565,5.109897669545931,0.0016538294017834907,0.9782476461724292
0.23,0.008451610403,10.560532,797143.2,5.041935430067716,0.0016762631176509314,0.9782476461724292
0.235,0.008451254745000001,10.79167395,800132.995,4.988454851440032,0.0016941628212913168,0.9782476461724292
0.24,0.00845036556,11.11292195,802237.545,4.949997852966082,0.0017071452980401732,0.9782476461724292
0.245,0.008449772768999999,11.33231095,804726.255,4.905829514450244,0.0017223942952177568,0.9782476461724292
0.25,0.008449061453,11.54386415,809002.1599999999,4.832425900105311,0.001748409934814701,0.9782476461724292
0.255,0.008449120716,11.71624125,812493.045,4.775222395913243,0.0017693669562345354,0.9782476461724292
0.26,0.008447816609,11.8807826,817219.925,4.69749207983295,0.0017983673980564577,0.9782476461724292
0.265,0.008448468662,12.0649125,822197.345,4.620720235653818,0.0018283878337431022,0.9782476461724292
0.27,0.008447283162,12.0766655,825988.875,4.5610646276793165,0.001852041979571336,0.9782476461724292
0.275,0.008447698083,12.1667715,830314.895,4.497241854167982,0.0018784175627936906,0.9782476461724292
0.28,0.008446334633,12.139348,834557.395,4.433655348306265,0.0019050498898672062,0.9782476461724292
0.285,0.008445919793,12.158936,839050.435,4.369380657173617,0.0019329787115557329,0.9782476461724292
0.29,0.008446512582999999,12.1746065,844395.32,4.296441170090424,0.0019659323259911482,0.9782476461724292
0.295,0.008445030607,12.1941945,847802.685,4.248425187371548,0.001987802593794724,0.9782476461724292
0.3,0.008444912,12.280383,852195.51,4.190285883947525,0.0020153546163404817,0.9782476461724292
0.305,0.008443252234999999,12.4096655,857156.23,4.1244378784641285,0.002047127992662148,0.9782476461724292
0.31,0.0084437265,12.527194999999999,861298.52,4.073115455677269,0.0020730388303211,0.9782476461724292
0.315,0.008442540919,12.593795,865073.3450000001,4.025203818932009,0.0020974194845219105,0.9782476461724292
0.32,0.008443015102999999,12.7583365,869031.895,3.9780845059684222,0.002122382038474227,0.9782476461724292
0.325,0.008442422392999999,12.832772,873391.315,3.9258906362541643,0.002150447675500004,0.9782476461724292
0.33,0.008442007472000001,12.899372,877049.22,3.8831787584758923,0.0021739940386657354,0.9782476461724292
0.335,0.008441473864,12.9150425,880807.345,3.840112170561903,0.0021982362725526334,0.9782476461724292
0.34,0.00844040689,12.938547999999999,884331.625,3.7997656144868963,0.002221296718360813,0.9782476461724292
0.345,0.008440821809999999,12.985560000000001,889192.13,3.747229215609163,0.002252550170894157,0.9782476461724292
0.35,0.008439991969,12.977724499999999,892148.52,3.7146471263124665,0.0022720844489415573,0.9782476461724292
0.355,0.008440110413,12.9973125,895889.9349999999,3.6755605167490644,0.0022962784518278188,0.9782476461724292
0.36,0.008439221228,13.056077499999999,899714.87,3.6353290806851053,0.002321446295698095,0.9782476461724292
0.365,0.008438865568999998,13.134430499999999,903589.91,3.5958344826402127,0.0023468448310790513,0.9782476461724292
0.37,0.008437798595,13.130513,907531.765,3.5554698604999717,0.0023731880527918395,0.9782476461724292
0.375,0.008437442937,13.228454500000002,910638.475,3.524682135583385,0.002393816693942384,0.9782476461724292
0.38,0.008437443018,13.267631,914814.17,3.484609474148963,0.0024213453704336994,0.9782476461724292
0.385,0.008436435306,13.291136999999999,917469.91,3.45855211023947,0.0024392968609675976,0.9782476461724292
0.39,0.008436376043999999,13.3459845,920075.545,3.4342588706941304,0.002456534688165439,0.9782476461724292
0.395,0.00843572399,13.385160500000001,923616.53,3.4010931534521536,0.0024802978364287464,0.9782476461724292
0.4,0.008435368251,13.440007999999999,926890.275,3.371093368509096,0.0025022647933155995,0.9782476461724292
0.405,0.00843590186,13.506608499999999,930047.1,3.3434171569448226,0.0025231376953597476,0.9782476461724292
0.41,0.008434894067000001,13.4909375,933437.7599999999,3.312545247345645,0.002546348332527356,0.9782476461724292
0.415,0.0084351312,13.5614555,936744.91,3.284044014227257,0.002568519533677689,0.9782476461724292
0.42,0.008434834803999999,13.6163025,940219.085,3.2540017948064324,0.002592142025693552,0.9782476461724292
0.425,0.008434123488,13.5927965,943993.915,3.2215176132711916,0.002618059095270886,0.9782476461724292
0.43,0.008433589961000002,13.6946555,946983.705,3.1962386630270743,0.0026385983182534837,0.9782476461724292
0.435,0.008433708567,13.780844,950958.9650000001,3.1639788552658046,0.002665538852436954,0.9782476461724292
0.44,0.008432522905000002,13.80435,953848.545,3.1397379966589227,0.002685740948440051,0.9782476461724292
0.445,0.008432345117,13.8631155,956019.9049999999,3.1223639697705527,0.0027006284977147146,0.9782476461724292
