t,mox,F,Pc,of,mf,lambda,Pe,Ve,cstr_ex,eta,dof,dmf
0.185,0.293110241,558.053095,1081122.68,10.11138497,0.02898814,0.921191235,618469.8058,883.483714,1921.780785,1.443404757,0.972774742,0.002544075
0.19,0.296487787,578.75761,1110533.165,9.349559658,0.031711417,0.921191235,637205.0148,900.0935401,1937.364862,1.421940622,0.909537974,0.00281143
0.195,0.299454113,599.227735,1139289.27,8.619331588,0.03474215,0.921191235,655303.7456,916.7923609,1951.86523,1.401396513,0.853958967,0.003131791
0.2,0.302045814,619.85412,1167536.415,7.906602288,0.038201721,0.921191235,672889.9464,934.1955018,1964.684671,1.380214739,0.783584858,0.003444608
0.205,0.304704152,639.46481,1196038.06,7.357948834,0.041411562,0.921191235,690829.6183,947.6702716,1978.522953,1.366457921,0.720348733,0.003692705
0.21,0.307494559,659.700545,1224176.15,6.817720714,0.045102252,0.921191235,707808.2295,962.6469453,1987.846951,1.349459412,0.654077254,0.003948227
0.215,0.310082885,680.014415,1250569.245,6.289402224,0.049302441,0.921191235,723647.0741,978.4560313,1992.346232,1.329062486,0.580004524,0.004162752
0.22,0.312199878,699.15633,1274890.155,5.824834982,0.053598064,0.921191235,738125.9036,993.532169,1995.487076,1.309874773,0.511306441,0.004325193
0.225,0.314083573,716.501245,1297647.87,5.460677117,0.057517331,0.921191235,751547.02,1006.259543,1999.389954,1.295200325,0.457241536,0.004444014
0.23,0.315964704,733.14299,1319096.785,5.146689841,0.061391829,0.921191235,764127.5371,1018.084575,2001.438262,1.281068341,0.409150614,0.004521099
0.235,0.317866548,749.08156,1338982.47,4.87157543,0.06524923,0.921191235,775746.8136,1029.111052,2001.069914,1.266863015,0.36698868,0.004571048
0.24,0.319763303,764.86387,1357523.075,4.612623422,0.069323522,0.921191235,786542.4985,1040.125617,1997.644045,1.251171688,0.327227034,0.004592149
0.245,0.321625086,779.3961,1374973.075,4.404408874,0.07302344,0.921191235,796669.3414,1049.510071,1994.808078,1.238185242,0.296146141,0.00460065
0.25,0.323028912,793.459545,1390968.9,4.197538463,0.076956748,0.921191235,805933.3082,1059.296593,1991.087785,1.224467619,0.266498811,0.004594245
0.255,0.323772423,807.366735,1405074.3,3.974885866,0.081454521,0.921191235,814068.6032,1070.391758,1985.264541,1.208315154,0.236093471,0.004566843
0.26,0.324380468,819.32066,1418052.7,3.805686966,0.08523572,0.921191235,821524.5785,1079.303782,1982.132438,1.196586563,0.214581033,0.00454944
0.265,0.32521259,830.962065,1432049,3.669810809,0.088618353,0.921191235,829557.1508,1086.798477,1981.309523,1.18800537,0.198369905,0.004544569
0.27,0.326093838,844.00982,1446845.15,3.520160833,0.092636062,0.921191235,838026.5795,1095.354025,1978.360757,1.177187141,0.180839851,0.004526422
0.275,0.326739788,857.604485,1460441.55,3.356997406,0.097330962,0.921191235,845773.4655,1105.022416,1971.801859,1.163284581,0.162168505,0.004485158
0.28,0.327190752,869.714675,1472765.6,3.220619249,0.101592497,0.921191235,852758.6949,1113.43188,1966.5873,1.151754432,0.147666931,0.004453853
0.285,0.327520341,880.8873,1484726.1,3.104068173,0.105513256,0.921191235,859494.2947,1120.882073,1963.098809,1.142449233,0.136297943,0.004438153
0.29,0.327541705,892.84121,1497231.9,2.978414502,0.109971834,0.921191235,866443.0379,1129.177057,1959.363367,1.132470477,0.124730404,0.0044203
0.295,0.327407025,905.498295,1510537.5,2.850416636,0.114862866,0.921191235,873735.9188,1137.859688,1955.516776,1.122408388,0.113809841,0.004410096
0.3,0.327631397,917.53035,1525006.45,2.750913814,0.119099113,0.921191235,881710.44,1144.663848,1954.535109,1.115926369,0.106646584,0.00444488
0.305,0.328086078,929.874915,1539838.95,2.65754964,0.123454356,0.921191235,889858.5949,1150.946332,1952.522578,1.109491644,0.100418117,0.004494996
0.31,0.328136975,943.860245,1554526.05,2.537842814,0.129297596,0.921191235,897723.2447,1158.636023,1945.747272,1.099445919,0.092874982,0.004564728
0.315,0.327820065,957.220505,1568086.15,2.419282071,0.135503036,0.921191235,904824.6409,1165.701425,1937.775113,1.089617601,0.086405766,0.004672666
0.32,0.327646265,969.17443,1582409.6,2.326388515,0.140839014,0.921191235,912240.4481,1170.732474,1933.928304,1.084286834,0.082971457,0.004850092
0.325,0.327709125,982.14403,1598369.1,2.231712352,0.146842009,0.921191235,920055.2839,1175.21543,1928.463703,1.079515392,0.080920307,0.005138084
0.33,0.327676359,996.83252,1614728.45,1.362221404,0.240545596,0.921191235,890980.6346,1093.140575,1627.042499,1.039461854,0.362871953,0.050598566
0.335,0.327468451,1011.59914,1631342.25,1.976939183,0.16564417,0.921191235,930791.2616,1182.32836,1894.158752,1.067709738,0.207052058,0.015703802
0.34,0.327462699,1025.89701,1648174.2,1.832091548,0.178737083,0.921191235,932220.0016,1180.690339,1864.226029,1.06565725,0.191304502,0.01689892
0.345,0.32754096,1040.976145,1664824.4,0.928569778,0.352737046,0.921191235,925449.3289,908.8339131,1401.197688,1.066247418,0.338674233,0.094269886
0.35,0.327473052,1056.055295,1680602.1,0.836098801,0.391667889,0.921191235,939017.7854,870.7643819,1338.037539,1.055171229,0.043510977,0.019374333
0.355,0.32773831,1070.04062,1696016.25,0.786526003,0.416691005,0.921191235,950731.2004,851.8036227,1304.439532,1.046774622,0.026741158,0.013701279
0.36,0.328705956,1082.853975,1711212.25,0.758015545,0.433640125,0.921191235,961220.5035,841.4852807,1285.19527,1.040965203,0.021932593,0.012194211
0.365,0.329966959,1096.52678,1726335.6,0.732203503,0.45064925,0.921191235,971612.3823,832.5404524,1266.208054,1.033744885,0.018480562,0.011094216
0.37,0.331045317,1110.59022,1740404.7,0.70617889,0.468783933,0.921191235,981542.1227,823.9197448,1245.863247,1.024788209,0.015600734,0.010132419
