t,mox,F,Pc,of,mf,eta,gamma,cstr_th,cstr_ex
0.095,0.00439622022,0,268759.0,2.910781056725998,0.0015103232205808022,0.8821014302238774,1.1150049896052012,1557.3432621287038,1373.7347188745862
0.1,0.00439263244,0,267098.0,2.94947694378689,0.0014892920079450475,0.8821014302238774,1.114962047950578,1554.1965065172403,1370.958961231302
0.105,0.004338816719999999,0,265739.0,2.896453374413638,0.0014979756823733975,0.8821014302238774,1.114964032365017,1558.2451488187019,1374.5302744181
0.11,0.00438904466,0,265286.0,2.99345448444875,0.0014662139286905679,0.8821014302238774,1.1149242320476118,1550.6828572270501,1367.8595661819018
0.115,0.00442492197,0,265135.0,3.059719553965235,0.0014461854728697388,0.8821014302238774,1.1149195013088076,1545.6165805763894,1363.3905961327475
0.12,0.00438904466,0,263172.0,3.053491705743779,0.0014373854861776684,0.8821014302238774,1.1148842562700345,1545.93728307047,1363.6734883029253
0.125,0.00441774641,0,263927.0,3.082076977115983,0.001433366668905802,0.8821014302238774,1.1148985610509927,1543.8320903217295,1361.8164948983135
0.13,0.0044572115,0,264682.0,3.129987089663546,0.0014240351069560232,0.8821014302238774,1.1149152786209218,1540.3157335035498,1358.7147115197788
0.135,0.0044392725999999995,0,263625.0,3.1293157642225964,0.0014186080710531397,0.8821014302238774,1.1148963748464917,1540.2840077479925,1358.686726185426
0.14,0.00444286038,0,264531.0,3.1088555740854824,0.0014290983527939973,0.8821014302238774,1.1149109833093456,1541.8719688110027,1360.0874689102761
0.145,0.00442492197,0,264229.0,3.085934921988986,0.001433899962850802,0.8821014302238774,1.1149041403153384,1543.5649789944314,1361.5808756144738
0.15,0.0044607987900000005,0,265437.0,3.114040135456519,0.0014324795429606903,0.8821014302238774,1.1149274856350142,1541.5557715118139,1359.808550820425
0.155,0.004467974350000001,0,265286.0,3.1312838591966474,0.0014268825666754756,0.8821014302238774,1.1149261080906423,1540.266243344782,1358.6710561799468
0.16,0.0044572115,0,264229.0,3.143515029632055,0.0014179068520380866,0.8821014302238774,1.1149080270439635,1539.2834342777533,1357.804118896253
0.165,0.00450743944,0,264682.0,3.221084605570078,0.0013993545628095227,0.8821014302238774,1.1149077954825766,1533.65373449696,1352.8381526672677
0.17,0.00446438657,0,263927.0,3.16558981019747,0.0014102858669871416,0.8821014302238774,1.1149030337779335,1537.640818651273,1356.3551653027457
0.175,0.00447514991,0,264531.0,3.1668230749177932,0.0014131354370392698,0.8821014302238774,1.1149137951730497,1537.5967770759294,1356.316316166143
0.18,0.004453623720000001,0,263323.0,3.164352757890038,0.0014074359152579554,0.8821014302238774,1.1148922396044432,1537.6850363895512,1356.3941698329238
0.185,0.00452179007,0,264380.0,3.2569561588819944,0.0013883484607763899,0.8821014302238774,1.1148944114674408,1531.0369487632856,1350.5298822271923
0.19,0.0044966761,0,263021.0,3.252901751097627,0.0013823584122953257,0.8821014302238774,1.1148709343433678,1531.225486312913,1350.696191469641
0.195,0.00452179007,0,264984.0,3.2381244968111242,0.0013964225509096448,0.8821014302238774,1.1149085800103236,1532.4412082916717,1351.7685815668453
0.2,0.0045182022899999995,0,262719.0,3.3030359352388525,0.001367893773663493,0.8821014302238774,1.1148752321413151,1527.6324349054182,1347.5267556724377
0.205,0.0045182022899999995,0,266796.0,3.17624682008028,0.0014224972257936182,0.8821014302238774,1.1149536013010466,1537.0799660566347,1355.8604364268383
0.21,0.004467974350000001,0,264682.0,3.1493131806037957,0.0014187138889576512,0.8821014302238774,1.1149163469312702,1538.891871554779,1357.4587208582795
0.215,0.00449308832,0,347128.0,1.7366884144734787,0.0025871585729223593,0.8821014302238774,1.120938160395343,1678.0155386742167,1480.17990656707
0.22,0.00450743944,0,287030.0,2.642357857176888,0.0017058398913521037,0.8821014302238774,1.1156057841966873,1581.1065813701805,1394.6963767622306
0.225,0.0045146150000000005,0,271628.0,3.0305278717903175,0.001489712416778712,0.8821014302238774,1.1150342619779674,1548.3349023562564,1365.7884318143763
0.23,0.004546904040000001,0,266645.0,3.2328972772716704,0.0014064486589061241,0.8821014302238774,1.1149392045492112,1532.9449744464964,1352.21295441277
0.235,0.00456125516,0,266343.0,3.2686525101928305,0.0013954542875929366,0.8821014302238774,1.114928246267195,1530.3459003192504,1349.9203074051788
0.24,0.004539728969999999,0,267400.0,3.1968391358739243,0.0014200680037530157,0.8821014302238774,1.1149617788349973,1535.6232246146876,1354.5754427173215
0.245,0.00448950054,0,265437.0,3.165424838291401,0.0014182932052884548,0.8821014302238774,1.1149299522079548,1537.7681786110415,1356.4675097054198
0.25,0.004568430720000001,0,265739.0,3.3011060770224594,0.001383909093924254,0.8821014302238774,1.1149268058439123,1527.996339272396,1347.8477562366334
0.255,0.004546904040000001,0,263776.0,3.323514569065247,0.0013681011307493194,0.8821014302238774,1.1149108511876176,1526.2823557478214,1346.3358489075997
0.26,0.004568430720000001,0,265739.0,3.3011060770224594,0.001383909093924254,0.8821014302238774,1.1149268058439123,1527.996339272396,1347.8477562366334
0.265,0.004536141190000001,0,262870.0,3.332449075632151,0.0013612034533909611,0.8821014302238774,1.1149045914098645,1525.594977936767,1345.729511951502
0.27,0.00457919357,0,264531.0,3.360835693660739,0.0013625163463472335,0.8821014302238774,1.1149699253299277,1523.7715573332914,1344.1210700069219
0.275,0.004568430720000001,0,264078.0,3.354989426257907,0.0013616825985337138,0.8821014302238774,1.1149540164062142,1524.1368519173784,1344.4432968872957
0.28,0.0045182022899999995,0,264682.0,3.2408881447936913,0.0013941247238841744,0.8821014302238774,1.114902586305662,1532.2184750681313,1351.5721082716618
0.285,0.004586369129999999,0,265437.0,3.3448890571855485,0.001371157324380455,0.8821014302238774,1.1149644961109293,1524.9310761962374,1345.1438832692625
0.29,0.0045720184999999995,0,265135.0,3.327310281150904,0.0013740884118623755,0.8821014302238774,1.1149385241545817,1526.1214007043538,1346.1938702320551
0.295,0.00457919357,0,267098.0,3.2782274162370237,0.0013968504891757373,0.8821014302238774,1.1149421971404159,1529.7187132486313,1349.3670647916836
0.3,0.0045504918200000005,0,265286.0,3.281882779932746,0.0013865491625186111,0.8821014302238774,1.114911258911092,1529.3222911680443,1349.0173803064238
0.305,0.00460072025,0,267400.0,3.308793385153158,0.0013904525651688708,0.8821014302238774,1.1149608647762925,1527.5811480199905,1347.4815154366888
0.31,0.004536141190000001,0,266041.0,3.2318023761331593,0.0014035948557682163,0.8821014302238774,1.1149288675726619,1532.9788384432836,1352.2428258927916
0.315,0.00457560579,0,269061.0,3.211306882870297,0.0014248422704186653,0.8821014302238774,1.1149876257693478,1534.694035402655,1353.7558035842965
0.32,0.00456484294,0,267702.0,3.2331719617018826,0.001411877559892345,0.8821014302238774,1.1149576849028997,1533.0044069235105,1352.2653798857623
0.325,0.00459713247,0,269514.0,3.236423116672575,0.0014204361742188997,0.8821014302238774,1.1149884591646373,1532.9041878947994,1352.176976537131
0.33,0.00456484294,0,269816.0,3.1694367412469155,0.0014402694587947844,0.8821014302238774,1.1150069519793744,1537.8050868642877,1356.5000665284017
0.335,0.00458995691,0,269665.0,3.2188862451746565,0.0014259456720102108,0.8821014302238774,1.1149960684042812,1534.1877896198826,1353.309243455147
0.34,0.004586369129999999,0,270420.0,3.1897806638920696,0.0014378321311923237,0.8821014302238774,1.115015801079776,1536.3638148140526,1355.2287183914548
0.345,0.004536141190000001,0,268910.0,3.1453143925365716,0.0014421900719253004,0.8821014302238774,1.1149908331776635,1539.5071526871025,1358.0014612251161
0.35,0.004586369129999999,0,271326.0,3.1629315194238505,0.0014500374421117525,0.8821014302238774,1.1150333267393795,1538.3943038141836,1357.0198156426486
0.355,0.004586369129999999,0,269514.0,3.216993121394445,0.0014256695482183627,0.8821014302238774,1.1149939735425862,1534.3141768338812,1353.4207297974103
0.36,0.00460430754,0,271326.0,3.194712468120136,0.0014412275238996114,0.8821014302238774,1.1150307798826498,1536.0713961444012,1354.9707754647118
0.365,0.00458995691,0,271024.0,3.1781971690028645,0.0014442014343119135,0.8821014302238774,1.115027519136577,1537.2545330022185,1356.0144221792236
0.37,0.00461865866,0,270722.0,3.2385707455757817,0.0014261410427144627,0.8821014302238774,1.1150088851272333,1532.8383908395076,1352.1189368605021
0.375,0.00460072025,0,269665.0,3.2383158155133396,0.001420713887126136,0.8821014302238774,1.114990590171646,1532.7784170153793,1352.0660338644436
0.38,0.00457919357,0,271930.0,3.132704513413409,0.0014617381085235165,0.8821014302238774,1.1150425893425466,1540.6639932586493,1359.0219119478502
