time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
0.805,4.6688866,0,0.176217
0.81,4.64377263,0,0.176972
0.815,4.62583422,0,0.176368
0.82,4.69041279,0,0.176972
0.825,4.63659707,0,0.17516
0.83,4.66529882,0,0.175915
0.835,4.67247438,0,0.176217
0.84,4.64018485,0,0.177123
0.845,4.62583422,0,0.176519
0.85,4.64377263,0,0.177576
0.855,4.6688866,0,0.175764
0.86,4.66171104,0,0.17516
0.865,4.63659707,0,0.177123
0.87,4.69758835,0,0.17667
0.875,4.64377263,0,0.17818
0.88,4.629422,0,0.17667
0.885,4.64018485,0,0.176217
0.89,4.6688866,0,0.177576
0.895,4.65453597,0,0.175613
0.9,4.62583422,0,0.175764
0.905,4.6868255,0,0.176066
0.91,4.64736041,0,0.175915
0.915,4.61507088,0,0.175009
0.92,4.64377263,0,0.175009
0.925,4.65812375,0,0.177425
0.93,4.65812375,0,0.174707
0.935,4.62224644,0,0.174405
0.94,4.67247438,0,0.175009
0.945,4.629422,0,0.174103
0.95,4.629422,0,0.174103
0.955,4.68323772,0,0.17365
0.96,4.65812375,0,0.172744
0.965,4.66171104,0,0.173197
0.97,4.69400057,0,0.173952
0.975,4.62224644,0,0.173952
0.98,4.629422,0,0.171536
0.985,4.67606216,0,0.174103
0.99,4.64018485,0,0.171687
0.995,4.67247438,0,0.174556
1,4.69041279,0,0.174254
1.005,4.65094819,0,0.174254
1.01,4.629422,0,0.175311
1.015,4.65453597,0,0.175915
1.02,4.68323772,0,0.176217
1.025,4.63659707,0,0.174405
1.03,4.67247438,0,0.17667
1.035,4.65812375,0,0.176066
1.04,4.6114831,0,0.174707
1.045,4.66529882,0,0.177425
1.05,4.63659707,0,0.174858
1.055,4.64736041,0,0.176972
1.06,4.66171104,0,0.175764
1.065,4.66171104,0,0.175009
1.07,4.64018485,0,0.177878
1.075,4.60072025,0,0.174707
1.08,4.67964994,0,0.175009
1.085,4.66529882,0,0.175009
1.09,4.65094819,0,0.174405
1.095,4.67964994,0,0.174254
1.1,4.66529882,0,0.173499
1.105,4.61865866,0,0.173348
1.11,4.6114831,0,0.17214
1.115,4.67964994,0,0.172744
1.12,4.66171104,0,0.172895
1.125,4.64377263,0,0.170177
1.13,4.6868255,0,0.172744
1.135,4.64018485,0,0.170026
1.14,4.59713247,0,0.169573
1.145,4.67247438,0,0.169724
1.15,4.66529882,0,0.168516
1.155,4.65453597,0,0.169573
1.16,4.63659707,0,0.168818
1.165,4.69758835,0,0.168667
1.17,4.62224644,0,0.169271
1.175,4.65094819,0,0.168063
1.18,4.65812375,0,0.168365
1.185,4.6688866,0,0.166855
1.19,4.67606216,0,0.167912
1.195,4.66529882,0,0.167308
1.2,4.67247438,0,0.167761
1.205,4.61865866,0,0.166704
1.21,4.65094819,0,0.167761
1.215,4.66171104,0,0.167308
1.22,4.6688866,0,0.167761
1.225,4.66171104,0,0.171083
1.23,4.66171104,0,0.166704
1.235,4.65453597,0,0.168667
1.24,4.59713247,0,0.167006
1.245,4.66171104,0,0.167006
1.25,4.6688866,0,0.168818
1.255,4.66529882,0,0.168063
1.26,4.65094819,0,0.166704
1.265,4.67964994,0,0.167761
1.27,4.66529882,0,0.166402
1.275,4.63300929,0,0.166251
1.28,4.64377263,0,0.167006
1.285,4.67964994,0,0.166402
1.29,4.65094819,0,0.165496
1.295,4.66171104,0,0.166553
1.3,4.69400057,0,0.165798
1.305,4.62224644,0,0.166251
1.31,4.64377263,0,0.166553
1.315,4.64377263,0,0.165194
1.32,4.67964994,0,0.1661
1.325,4.66171104,0,0.164439
1.33,4.68323772,0,0.166251
1.335,4.6868255,0,0.169573
1.34,4.62583422,0,0.165345
1.345,4.65812375,0,0.16761
1.35,4.65812375,0,0.166251
1.355,4.65812375,0,0.166855
1.36,4.64736041,0,0.16761
1.365,4.66171104,0,0.165194
1.37,4.66171104,0,0.168818
1.375,4.63659707,0,0.165798
1.38,4.64018485,0,0.165949
1.385,4.70117613,0,0.166855
1.39,4.65453597,0,0.163986
1.395,4.66171104,0,0.164288
1.4,4.69400057,0,0.164892
1.405,4.62224644,0,0.16308
1.41,4.629422,0,0.165194
1.415,4.69400057,0,0.164137
1.42,4.64736041,0,0.163684
1.425,4.66171104,0,0.163835
1.43,4.6688866,0,0.163382
1.435,4.67247438,0,0.16308
1.44,4.65094819,0,0.164288
1.445,4.63659707,0,0.165345
1.45,4.67247438,0,0.163835
1.455,4.65812375,0,0.165949
1.46,4.65094819,0,0.164137
1.465,4.67247438,0,0.164137
1.47,4.66171104,0,0.165194
1.475,4.61507088,0,0.163533
1.48,4.69758835,0,0.165949
1.485,4.65453597,0,0.163835
