,1.0,2.0,3.0,4.0
0.5,0.1328,0.2654,0.3981,0.5309
1.0,0.1334,0.2663,0.3991,0.5317
1.5,0.1337,0.2666,0.3992,0.5316
2.0,0.133,0.264,0.3941,0.5237
2.5,0.1291,0.2575,0.3855,0.5132
3.0,0.1215,0.2464,0.372,0.4976
3.5,0.1159,0.2327,0.3505,0.4692
4.0,0.1163,0.2326,0.3489,0.4653
4.5,0.1172,0.2343,0.3515,0.4686
5.0,0.1181,0.2363,0.3544,0.4725
