,1.0,2.0,3.0,4.0
0.5,10.6049,10.3267,10.1668,10.0545
1.0,11.7355,11.4187,11.2365,11.1085
1.5,12.372,12.0325,11.8369,11.6996
2.0,12.7789,12.4227,12.2172,12.0726
2.5,13.0283,12.6628,12.4514,12.3026
3.0,13.137,12.7821,12.5747,12.4278
3.5,13.1316,12.7938,12.5962,12.456
4.0,13.0763,12.7524,12.5628,12.4284
4.5,13.0012,12.6885,12.5056,12.3758
5.0,12.919,12.6158,12.4384,12.3125
