time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
1.465,4.564910505,0,0.166251
1.47,4.56139181,0,0.167006
1.475,4.589540893,0,0.166402
1.48,4.578984806,0,0.165496
1.485,4.547317028,0,0.166553
1.49,4.543798332,0,0.165798
1.495,4.593059588,0,0.166251
1.5,4.564910505,0,0.166553
1.505,4.568429201,0,0.165194
1.51,4.593059588,0,0.1661
1.515,4.536761422,0,0.164439
1.52,4.536761422,0,0.166251
1.525,4.600096499,0,0.169573
1.53,4.571947416,0,0.165345
1.535,4.554354419,0,0.16761
1.54,4.610652585,0,0.166251
1.545,4.571947416,0,0.166855
1.55,4.533242727,0,0.16761
1.555,4.593059588,0,0.165194
1.56,4.589540893,0,0.168818
1.565,4.589540893,0,0.165798
1.57,4.568429201,0,0.165949
1.575,4.60713389,0,0.166855
1.58,4.52268664,0,0.163986
1.585,4.519167945,0,0.164288
1.59,4.60713389,0,0.164892
1.595,4.564910505,0,0.16308
1.6,4.589540893,0,0.165194
1.605,4.600096499,0,0.164137
1.61,4.547317028,0,0.163684
1.615,4.519167945,0,0.163835
1.62,4.582503502,0,0.163382
1.625,4.554354419,0,0.16308
1.63,4.582503502,0,0.164288
1.635,4.578984806,0,0.165345
1.64,4.550835723,0,0.163835
1.645,4.564910505,0,0.165949
1.65,4.540280117,0,0.164137
1.655,4.547317028,0,0.164137
1.66,4.586022197,0,0.165194
1.665,4.571947416,0,0.163533
1.67,4.578984806,0,0.165949
1.675,4.617689976,0,0.163835
1.68,4.519167945,0,0.165345
1.685,4.564910505,0,0.166251
1.69,4.578984806,0,0.16459
1.695,4.617689976,0,0.166855
1.7,4.56139181,0,0.163684
1.705,4.610652585,0,0.164288
1.71,4.578984806,0,0.164137
1.715,4.512131034,0,0.163533
1.72,4.610652585,0,0.166402
1.725,4.571947416,0,0.164288
1.73,4.571947416,0,0.164741
1.735,4.596578284,0,0.165496
1.74,4.557873114,0,0.165345
1.745,4.550835723,0,0.163684
1.75,4.578984806,0,0.165345
1.755,4.564910505,0,0.165949
1.76,4.526205336,0,0.164892
1.765,4.600096499,0,0.166251
1.77,4.600096499,0,0.165496
1.775,4.536761422,0,0.166402
1.78,4.56139181,0,0.1661
1.785,4.586022197,0,0.165949
1.79,4.56139181,0,0.165647
1.795,4.564910505,0,0.164892
