t,mox,F,Pc,of,mf,eta,gamma,cstr_th,cstr_ex
0.0,0.0040793387,0,114437.0,24.20957359445521,0.00016850105534011977,0.8973532486023341,1.2763191640571216,906.375504682447,813.3390035795659
0.005,0.004107487784,0,115192.0,24.228394685050123,0.0001695319825103593,0.8973532486023341,1.2763568106173304,906.1307784655024,813.1193977130591
0.01,0.004121562085,0,116853.0,23.555465559454543,0.0001749726438051959,0.8973532486023341,1.2749112543191554,915.0216314633166,821.0976335349817
0.015,0.004082857396000001,0,115494.0,23.694641179690958,0.00017231142539940553,0.8973532486023341,1.2751862644590704,913.1717102231639,819.4376007004413
0.02,0.004149711168000001,0,117608.0,23.57676723199257,0.0001760084886603553,0.8973532486023341,1.2749547151117206,914.7202962119968,820.8272293683115
0.025,0.0041778602510000006,0,124554.0,20.73110807255233,0.0002015261430493155,0.8973532486023341,1.2677938104539195,956.8728572075631,858.6529669146041
0.03,0.004156748559,0,133010.0,17.385442263300213,0.0002390936334000939,0.8973532486023341,1.2555341551277432,1018.009946400542,913.514532511963
0.035,0.004181378947,0,138748.0,15.906201492905959,0.0002628772776998243,0.8973532486023341,1.2473413165582168,1050.3582798056855,942.5424145658002
0.04,0.004213046725,0,143731.0,14.86917360038191,0.0002833410139815564,0.8973532486023341,1.2397517680313723,1075.46557455696,965.0725270800831
0.045,0.004188416338,0,152942.0,12.621165008397284,0.00033185655485950036,0.8973532486023341,1.215682892365458,1138.3398295887778,1021.4929440949006
0.05,0.004195453728999999,0,155811.0,12.117888161316596,0.0003462198753734139,0.8973532486023341,1.2084728794614614,1154.2290916131042,1035.7512249900828
0.055,0.004195453728999999,0,163663.0,10.745553522173369,0.0003904362600160813,0.8973532486023341,1.1861654155791106,1200.7060431373395,1077.4574684255897
0.06,0.0042552705900000005,0,168948.0,10.281587225416192,0.0004138729261062851,0.8973532486023341,1.178179009296394,1217.378571193998,1092.4186156396759
0.065,0.004272863587,0,175894.0,9.365928780011622,0.00045621354671401826,0.8973532486023341,1.1627249147741219,1251.366281629868,1122.9175980118962
0.07,0.004244714504,0,181632.0,8.429255487068705,0.0005035693259638177,0.8973532486023341,1.1484057354960213,1286.9613813405135,1154.8589763716466
0.075,0.004311568757,0,188125.0,7.9741470075764305,0.0005406934124619817,0.8973532486023341,1.142284782980856,1304.4038620939168,1170.5110431393878
0.08,0.004308050061,0,195222.0,7.130881062342869,0.000604139940539771,0.8973532486023341,1.132704072737937,1337.0985624325333,1199.8497387002787
0.085,0.0042552705900000005,0,201564.0,6.228895532983016,0.0006831500973916885,0.8973532486023341,1.1249547959829191,1373.2028812391395,1232.2480664685597
0.09,0.004304531366,0,208208.0,5.845077864972363,0.0007364369586580952,0.8973532486023341,1.1224533601158708,1389.6110691772071,1246.9720072199266
0.095,0.00433971784,0,214399.0,5.482305121812902,0.000791586338880192,0.8973532486023341,1.1204802024653462,1405.739396729823,1261.4448143436957
0.1,0.004304531366,0,220439.0,4.9216149654155155,0.0008746176603103251,0.8973532486023341,1.1179146903287758,1431.9895394055488,1285.0004651501242
0.105,0.004332680449,0,226026.0,4.661198331353769,0.0009295207242858605,0.8973532486023341,1.1170187667109104,1445.1095572154752,1296.7737557446776
0.11,0.0043713856179999995,0,231462.0,4.465673870628868,0.0009788859967475433,0.8973532486023341,1.1164897134900351,1455.504968205299,1306.1021115757906
0.115,0.004353792141,0,234784.0,4.238188889462069,0.0010272765689668456,0.8973532486023341,1.1159020630270369,1467.9449893422873,1317.2652049097453
0.12,0.004357310837,0,239918.00000000003,3.998307863116034,0.001089788727175246,0.8973532486023341,1.115430371216962,1481.8605616432526,1329.7523889658034
0.125,0.00433971784,0,243089.0,3.8128314368132123,0.0011381876990678515,0.8973532486023341,1.1151240897282704,1493.002685932085,1339.7508103931327
0.13,0.004374903833,0,246864.0,3.7386213376366233,0.001170191746609354,0.8973532486023341,1.1150436250517581,1497.8162785964812,1344.0703034080082
0.135,0.004381941224,0,250488.00000000003,3.6109036724981722,0.0012135303573380545,0.8973532486023341,1.1149303488202833,1506.1216514343366,1351.5231566374528
0.14,0.0043713856179999995,0,254716.0,3.4329245602981024,0.0012733707196934164,0.8973532486023341,1.1148885550623888,1518.1715448875634,1362.3361677402233
0.145,0.004420646394,0,256226.0,3.4823375719333596,0.0012694479793197361,0.8973532486023341,1.1149633348973682,1515.0031934611509,1359.493037294377
0.15,0.004378422529,0,257434.0,3.353321429737496,0.0013056972380195448,0.8973532486023341,1.1148341465483946,1523.745744150489,1367.338193557415
0.155,0.0043889786150000006,0,262870.0,3.1987580744383566,0.0013720883270519372,0.8973532486023341,1.1148808957962544,1535.139775710909,1377.562664795846
0.16,0.004367866923,0,263474.0,3.1412502097766857,0.0013904867907069765,0.8973532486023341,1.1148944198390403,1539.3920782641728,1381.378482514543
0.165,0.004434720695,0,267551.0,3.1415447555065743,0.001411636962111304,0.8973532486023341,1.1149667917339634,1539.681952455243,1381.6386020990594
0.17,0.004410090307,0,268306.0,3.075620617927021,0.0014338863126663575,0.8973532486023341,1.114976015089125,1544.6558584744737,1386.101952574651
0.175,0.004434720695,0,271175.0,3.0376606309684835,0.0014599131482262054,0.8973532486023341,1.1150262271453153,1547.7565001032021,1388.8843234128324
0.18,0.0044312019999999995,0,270571.0,3.048437443073754,0.001453597812895251,0.8973532486023341,1.115015534523738,1546.889793574557,1388.1065814938047
0.185,0.0044312019999999995,0,271779.0,3.014908601967455,0.0014697632946843915,0.8973532486023341,1.1150372548107907,1549.5395191704135,1390.484321365029
