time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
0,2.323539458,0,0.056172
0.005,2.404468012,0,0.058588
0.01,2.418542794,0,0.061457
0.015,2.443173182,0,0.063571
0.02,2.510027434,0,0.066138
0.025,2.478359656,0,0.066893
0.03,2.534657822,0,0.069762
0.035,2.583918598,0,0.071725
0.04,2.583918598,0,0.072782
0.045,2.640216764,0,0.074141
0.05,2.647254155,0,0.074896
0.055,2.643735459,0,0.074745
0.06,2.710589231,0,0.076859
0.065,2.735219619,0,0.080332
0.07,2.714107927,0,0.079124
0.075,2.717626622,0,0.082295
0.08,2.766887398,0,0.082446
0.085,2.784480875,0,0.083201
0.09,2.770406093,0,0.081993
0.095,2.795036481,0,0.08305
0.1,2.840779041,0,0.084862
0.105,2.847816432,0,0.085617
0.11,2.837260346,0,0.08456
0.115,2.847816432,0,0.084862
0.12,2.865409429,0,0.086372
0.125,2.900595903,0,0.08607
0.13,2.921707595,0,0.086674
0.135,2.886521121,0,0.084862
0.14,2.904114118,0,0.085617
0.145,2.935781897,0,0.087882
0.15,2.928744986,0,0.08758
0.155,2.935781897,0,0.08758
0.16,2.95689407,0,0.087429
0.165,2.985043153,0,0.088033
0.17,2.995598759,0,0.089392
0.175,2.96393098,0,0.086674
0.18,2.981524457,0,0.08909
0.185,2.999117454,0,0.08909
0.19,3.016710931,0,0.090147
0.195,2.992080063,0,0.093016
0.2,2.985043153,0,0.091506
0.205,2.999117454,0,0.090751
0.21,3.00967354,0,0.092563
0.215,3.020229146,0,0.09211
0.22,2.995598759,0,0.0906
0.225,3.013192236,0,0.092563
0.23,3.037822624,0,0.093016
0.235,3.051896925,0,0.091959
0.24,3.034303928,0,0.090449
0.245,3.030785233,0,0.093167
0.25,3.065971707,0,0.091959
0.255,3.076527313,0,0.091355
0.26,3.048378229,0,0.093771
0.265,3.069490402,0,0.091808
0.27,3.076527313,0,0.090449
0.275,3.05541562,0,0.088033
0.28,3.05541562,0,0.090147
0.285,3.087083399,0,0.088335
0.29,3.069490402,0,0.086372
0.295,3.058934316,0,0.084409
0.3,3.076527313,0,0.083805
0.305,3.083564703,0,0.082295
0.31,3.104676396,0,0.084258
0.315,3.122269873,0,0.084409
0.32,3.122269873,0,0.082899
0.325,3.087083399,0,0.08154
0.33,3.080046008,0,0.080936
0.335,3.087083399,0,0.08003
0.34,3.118751178,0,0.080332
0.345,3.104676396,0,0.082144
0.35,3.087083399,0,0.080332
0.355,3.09412079,0,0.079275
0.36,3.125788569,0,0.080936
0.365,3.104676396,0,0.08003
0.37,3.101158181,0,0.079728
0.375,3.115232482,0,0.081389
0.38,3.115232482,0,0.08154
0.385,3.143381565,0,0.080785
0.39,3.125788569,0,0.082144
0.395,3.136344174,0,0.082748
0.4,3.104676396,0,0.080483
0.405,3.125788569,0,0.081842
0.41,3.153937652,0,0.082899
0.415,3.153937652,0,0.08305
0.42,3.136344174,0,0.082748
0.425,3.132825479,0,0.08305
0.43,3.122269873,0,0.080936
0.435,3.118751178,0,0.083201
0.44,3.150418956,0,0.084409
0.445,3.13986287,0,0.085768
0.45,3.160974562,0,0.08305
0.455,3.125788569,0,0.08154
0.46,3.118751178,0,0.080483
0.465,3.13986287,0,0.080936
0.47,3.168011953,0,0.080634
0.475,3.118751178,0,0.078822
0.48,3.13986287,0,0.078671
0.485,3.150418956,0,0.077916
0.49,3.160974562,0,0.078671
0.495,3.132825479,0,0.076406
0.5,3.125788569,0,0.076557
0.505,3.153937652,0,0.07701
0.51,3.178568039,0,0.075802
0.515,3.171530648,0,0.076104
0.52,3.146900261,0,0.074745
0.525,3.146900261,0,0.073235
0.53,3.164493258,0,0.074594
0.535,3.164493258,0,0.073386
0.54,3.157455867,0,0.073688
0.545,3.129307264,0,0.074141
0.55,3.146900261,0,0.073537
0.555,3.160974562,0,0.073688
0.56,3.164493258,0,0.073537
0.565,3.160974562,0,0.072933
0.57,3.157455867,0,0.073084
0.575,3.146900261,0,0.070517
0.58,3.160974562,0,0.072329
0.585,3.168011953,0,0.072933
0.59,3.150418956,0,0.070668
0.595,3.150418956,0,0.070668
0.6,3.168011953,0,0.072782
0.605,3.182086735,0,0.071423
0.61,3.160974562,0,0.071423
0.615,3.160974562,0,0.071574
0.62,3.160974562,0,0.073235
0.625,3.171530648,0,0.072329
0.63,3.168011953,0,0.071272
0.635,3.157455867,0,0.071574
0.64,3.178568039,0,0.072178
0.645,3.160974562,0,0.07097
0.65,3.157455867,0,0.071876
0.655,3.153937652,0,0.070668
0.66,3.160974562,0,0.069762
0.665,3.18560543,0,0.071121
0.67,3.189123645,0,0.06946
0.675,3.146900261,0,0.068252
0.68,3.13986287,0,0.069309
0.685,3.178568039,0,0.069309
0.69,3.196161036,0,0.069762
0.695,3.189123645,0,0.07097
0.7,3.18560543,0,0.071121
0.705,3.160974562,0,0.07097
0.71,3.150418956,0,0.069611
0.715,3.143381565,0,0.069007
0.72,3.168011953,0,0.07097
0.725,3.168011953,0,0.071272
0.73,3.182086735,0,0.070819
0.735,3.199679732,0,0.072027
0.74,3.150418956,0,0.068403
0.745,3.171530648,0,0.069913
0.75,3.196161036,0,0.071876
0.755,3.178568039,0,0.070819
0.76,3.164493258,0,0.069309
0.765,3.160974562,0,0.069158
0.77,3.171530648,0,0.070366
0.775,3.196161036,0,0.07097
0.78,3.168011953,0,0.070668
0.785,3.171530648,0,0.069762
0.79,3.18560543,0,0.07097
0.795,3.164493258,0,0.070517
0.8,3.168011953,0,0.069913
0.805,3.182086735,0,0.069309
0.81,3.189123645,0,0.070064
0.815,3.18560543,0,0.069611
0.82,3.171530648,0,0.068554
0.825,3.196161036,0,0.06946
0.83,3.160974562,0,0.069611
0.835,3.171530648,0,0.069611
0.84,3.192642341,0,0.069309
0.845,3.164493258,0,0.06795
0.85,3.164493258,0,0.067346
0.855,3.196161036,0,0.068705
0.86,3.153937652,0,0.067497
0.865,3.175049344,0,0.067648
0.87,3.182086735,0,0.067346
