t,mox,F,Pc,of,mf,eta,gamma,cstr_th,cstr_ex
0.21,0.00300967354,0,193863.0,2.3860081386789704,0.0012613844400657939,0.858229237741639,1.1145432753282072,1596.7223945397768,1370.353844052358
0.215,0.003020229146,0,193410.0,2.4181935583723417,0.0012489608764125902,0.858229237741639,1.114443050436697,1593.6883336763858,1367.7499246817756
0.22,0.002995598759,0,191900.0,2.4162448412214954,0.0012397745079036034,0.858229237741639,1.114449168002041,1593.8712536720022,1367.9069119419275
0.225,0.003013192236,0,193863.0,2.392401345989115,0.0012594844259938439,0.858229237741639,1.114523568569994,1596.1174842749297,1369.8346924343261
0.23,0.003037822624,0,194316.0,2.4245142929427046,0.0012529613180019266,0.858229237741639,1.1144232115921888,1593.095715265453,1367.2413223312278
0.235,0.003051896925,0,193259.0,2.481609220914229,0.0012298056032672526,0.858229237741639,1.1142503401349235,1587.7904683904007,1362.6882055845788
0.24,0.003034303928,0,191749.0,2.4935165697419315,0.0012168773870686721,0.858229237741639,1.1142173128640511,1586.694927103491,1361.7479803592983
0.245,0.003030785233,0,194467.0,2.4073223657471163,0.0012589860320013232,0.858229237741639,1.1144771421911515,1594.7100568317564,1368.6267972178352
0.25,0.003065971707,0,193259.0,2.5082749099509574,0.0012223427722521639,0.858229237741639,1.1141786590218117,1585.3423277852564,1360.5871405468738
0.255,0.0030765273130000004,0,192655.0,2.547013796688308,0.0012078958178397695,0.858229237741639,1.1140902003331146,1581.8229880173558,1357.5667415205114
0.26,0.003048378229,0,195071.0,2.4222328185702593,0.0012584992679602646,0.858229237741639,1.1144303703705556,1593.3094998321417,1367.4247984612227
0.265,0.003069490402,0,193108.0,2.5195666312793215,0.001218261253301903,0.858229237741639,1.1141509235843867,1584.3115785536704,1359.702521802282
0.27,0.0030765273130000004,0,191749.0,2.5753479802933392,0.0011946064518432867,0.858229237741639,1.1140375176282409,1579.2827352490633,1355.3866230055562
0.275,0.0030554156200000003,0,189333.0,2.6108299076573576,0.0011702852074119067,0.858229237741639,1.113985941649917,1576.149914521138,1352.6979450620615
0.28,0.0030554156200000003,0,191447.0,2.54346465145026,0.001201280944973161,0.858229237741639,1.1140975168815725,1582.1433332279094,1357.8416710426932
0.285,0.003087083399,0,189635.0,2.6656312504113258,0.0011581059452704275,0.858229237741639,1.1139302449368402,1571.4167755839203,1348.6358214964773
0.29,0.003069490402,0,187672.0,2.695805443305695,0.0011386171838261737,0.858229237741639,1.1139037950716146,1568.8542632608255,1346.436598508137
0.295,0.003058934316,0,185709.0,2.7421792780210925,0.0011155121550650384,0.858229237741639,1.1138589253670015,1564.96276747182,1343.096802935761
0.3,0.0030765273130000004,0,185105.0,2.8028144543577462,0.001097656431811493,0.858229237741639,1.1137972308462032,1559.971061681449,1338.812775119964
0.305,0.0030835647030000002,0,183595.0,2.8759375549521495,0.001072194595355637,0.858229237741639,1.113726059201706,1554.1052187051382,1333.7785372433455
