t,mox,F,Pc,of,mf,eta,gamma,cstr_th,cstr_ex
0.0,0.00062552763,0,100847.0,0.2628272224707631,0.002379995588431041,0.8833186396526647,1.207743203432438,1146.8292871212757,1013.0156536151524
0.005,0.000833615342,0,105528.0,0.4074024934377805,0.002046171428568617,0.8833186396526647,1.2616152962629703,1252.458199956051,1106.3196734275698
0.01,0.00099865038,0,107491.0,0.6115237861723428,0.001633052389099637,0.8833186396526647,1.2885593542624796,1396.0183635962737,1233.1290419126365
0.015,0.00118162422,0,111115.0,1.1224989638841714,0.0010526728825755332,0.8833186396526647,1.1488375073529162,1699.760112714372,1501.4297904987216
0.02,0.00138612425,0,114437.0,1.4970009307007268,0.0009259341270757748,0.8833186396526647,1.1222751480920758,1691.7007200732905,1494.310778754514
0.025,0.0015188696600000001,0,115192.0,1.7816924117703756,0.0008524870229933673,0.8833186396526647,1.1177704042366388,1660.2798674465162,1466.556153906721
0.03,0.0017161941300000002,0,116853.0,2.2463663543036594,0.000763986749851404,0.8833186396526647,1.1149571684384445,1610.3207048018112,1422.4262943411518
0.035,0.00182023779,0,115494.0,2.643033019656948,0.000688692792130254,0.8833186396526647,1.1139509538036547,1573.354704360484,1389.7735371467645
0.04,0.00196374654,0,117608.0,3.045425840381933,0.0006448183744818172,0.8833186396526647,1.11359436454223,1540.9589916311409,1361.1578002481458
0.045,0.00212160641,0,124554.0,3.204330572798997,0.0006621059724642478,0.8833186396526647,1.1136029640307263,1529.2876573951742,1350.848293165643
0.05,0.00226152738,0,133010.0,3.1893962841234593,0.000709076947025269,0.8833186396526647,1.1135945895319739,1530.3661448761534,1351.800941260992
0.055,0.00238709772,0,138748.0,3.288128302840313,0.0007259746275527037,0.8833186396526647,1.1136921700324187,1523.3278543019258,1345.5838879782866
0.06,0.00245167629,0,143731.0,3.2158467414415695,0.0007623734857778035,0.8833186396526647,1.1136127606125614,1528.4587208562136,1350.1160780687371
0.065,0.00257365885,0,152942.0,3.1061156806046553,0.0008285779135885229,0.8833186396526647,1.1135995360417617,1536.4488169892493,1357.173878918754
0.07,0.00265258854,0,155811.0,3.1998692464229,0.000828967790782483,0.8833186396526647,1.1135999174221884,1529.6094356417684,1351.1325258889747
0.075,0.00281403619,0,163663.0,3.2829261648688046,0.0008571731585417661,0.8833186396526647,1.1136877663671376,1523.6921234146762,1345.905653679534
0.08,0.0028499135,0,168948.0,3.1254021062812165,0.0009118549879621702,0.8833186396526647,1.1135963186530815,1535.02996022917,1355.920576295468
0.085,0.0029037292200000003,0,175894.0,2.9596660608014864,0.0009811002864335517,0.8833186396526647,1.1136311348495846,1547.5152128678558,1366.9490326432062
0.09,0.0029826589100000003,0,181632.0,2.9210771459914944,0.0010210818684104296,0.8833186396526647,1.113675172780099,1550.537517673667,1369.6186908412087
0.095,0.0030795275,0,188125.0,2.8982817603806077,0.0010625355830123262,0.8833186396526647,1.113701950620404,1552.335786397305,1371.2071351246082
0.1,0.00319074672,0,195222.0,2.887176730858348,0.0011051442351613168,0.8833186396526647,1.113714204171846,1553.2142782673636,1371.9831232476647
0.105,0.00321586069,0,201564.0,2.722495424462243,0.00118121803295049,0.8833186396526647,1.113912719651049,1566.7676383957853,1383.9550589995804
0.11,0.00327326419,0,208208.0,2.6306608223306958,0.0012442745040388652,0.8833186396526647,1.1141466561059143,1575.25692228535,1391.4538016964016
0.115,0.0033521938800000002,0,214399.0,2.599140635553152,0.0012897316267330731,0.8833186396526647,1.1143232937788186,1578.630372036698,1394.4336327413546
0.12,0.0034311235700000002,0,220439.0,2.5739368735874466,0.0013330255319035243,0.8833186396526647,1.1144943750793965,1581.4626979810066,1396.9354790410484
0.125,0.0034634131,0,226026.0,2.4835124383080918,0.0013945624135305204,0.8833186396526647,1.1148117014202243,1590.22634237092,1404.6765694804244
0.13,0.00350287819,0,231462.0,2.4149250974087217,0.0014505121478751786,0.8833186396526647,1.1151079848048908,1597.1033262019978,1410.7511374771598
0.135,0.0035351677200000002,0,234784.0,2.3880712768601464,0.0014803443072470034,0.8833186396526647,1.1152381619540772,1599.959858032034,1413.2743652812323
0.14,0.0036320358200000002,0,239918.00000000003,2.419446746742469,0.0015011844442908923,0.8833186396526647,1.1152577046563967,1597.4556060469902,1411.0623128300956
0.145,0.00365714979,0,243089.0,2.386083107311037,0.0015327000886072965,0.8833186396526647,1.1153965535105261,1600.9080072698255,1414.1118831731262
0.15,0.00367508869,0,246864.0,2.3309500442359936,0.0015766484138464534,0.8833186396526647,1.1155955855745032,1606.6106793930762,1419.1491597424515
0.155,0.00377913235,0,250488.00000000003,2.4038038617248514,0.0015721467171985824,0.8833186396526647,1.1154891117652819,1599.8718269736687,1413.196605805894
0.16,0.00376119394,0,254716.0,2.2907598069018937,0.00164189799762847,0.8833186396526647,1.1158659436486522,1611.2752420891322,1423.269454914349
0.165,0.0037863079100000003,0,256226.0,2.2950221579754513,0.0016497914396347631,0.8833186396526647,1.1158768106821682,1610.9856686257233,1423.0136692766348
0.17,0.0037970712500000003,0,257434.0,2.285749844960708,0.001661192828415251,0.8833186396526647,1.115934019097305,1612.008125590108,1423.916824569809
0.175,0.00390470269,0,262870.0,2.3238632430909525,0.0016802635445992877,0.8833186396526647,1.1158981772883776,1608.70472998358,1420.9988736538412
0.18,0.00390829047,0,263474.0,2.3168292406119195,0.0016869134770449222,0.8833186396526647,1.1159300541208639,1609.4508142845896,1421.6579038237985
0.185,0.00395851841,0,267551.0,2.3044787354499814,0.0017177500269825857,0.8833186396526647,1.1160416829540398,1611.0147563405064,1423.0393629932505
