,1.0,2.0,3.0,4.0
0.5,0.20429,0.22067,0.23041,0.23736
1.0,0.1241,0.14104,0.15142,0.15897
1.5,0.09556,0.11181,0.12196,0.12943
2.0,0.08209,0.09776,0.10767,0.11502
2.5,0.04542,0.05405,0.0594,0.06334
3.0,0.01064,0.0164,0.02031,0.02332
3.5,0.00036,0.00125,0.00235,0.00348
4.0,1e-05,3e-05,7e-05,0.00013
4.5,0.0,0.0,0.0,1e-05
5.0,0.0,0.0,0.0,0.0
