,1.0,2.0,3.0,4.0
0.5,0.19265,0.17418,0.16318,0.15531
1.0,0.29657,0.27494,0.26184,0.25236
1.5,0.35715,0.33415,0.32016,0.31001
2.0,0.39845,0.37448,0.35985,0.3492
2.5,0.42514,0.40198,0.3879,0.37769
3.0,0.42407,0.40634,0.39479,0.38613
3.5,0.37382,0.371,0.36753,0.364
4.0,0.30767,0.3076,0.30748,0.3073
4.5,0.25267,0.25267,0.25266,0.25265
5.0,0.20663,0.20663,0.20663,0.20663
