,1.0,2.0,3.0,4.0
0.5,0.02564,0.02671,0.02709,0.02723
1.0,0.09524,0.09878,0.10048,0.10149
1.5,0.16846,0.17397,0.1769,0.17879
2.0,0.20494,0.20435,0.20363,0.20292
2.5,0.20438,0.20383,0.2032,0.2026
3.0,0.19901,0.19887,0.19867,0.19842
3.5,0.18423,0.18423,0.18422,0.18421
4.0,0.16652,0.16653,0.16653,0.16653
4.5,0.14821,0.14822,0.14823,0.14823
5.0,0.13007,0.1301,0.13011,0.13012
