,1.0,2.0,3.0,4.0
0.5,0.19692,0.21628,0.22779,0.23598
1.0,0.13344,0.15304,0.16505,0.17377
1.5,0.11042,0.12952,0.14143,0.15018
2.0,0.06665,0.07609,0.08201,0.08641
2.5,0.01277,0.01972,0.02436,0.02789
3.0,0.00015,0.00056,0.00117,0.00192
3.5,0.0,1e-05,3e-05,5e-05
4.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
