,1.0,2.0,3.0,4.0
0.5,0.22447,0.20254,0.18943,0.18006
1.0,0.31985,0.29599,0.28145,0.2709
1.5,0.37647,0.35219,0.33728,0.3264
2.0,0.42105,0.39875,0.3851,0.37512
2.5,0.43862,0.42078,0.40913,0.40038
3.0,0.38213,0.38109,0.37955,0.37769
3.5,0.31455,0.31452,0.31449,0.31443
4.0,0.25969,0.25969,0.25969,0.25968
4.5,0.21382,0.21382,0.21383,0.21383
5.0,0.17479,0.1748,0.17481,0.17481
